booking_id,created_date,date_of_service,customer_name,city,phone,email,package_name
B001,2024-01-15,2024-02-01,Client A,Harare,,client.a@email.com,Basic Cleaning
B002,2024-01-18,2024-02-03,Client B,Bulawayo,,client.b@email.com,Premium Package
B003,2024-01-20,2024-02-05,Client C,Harare,,client.c@email.com,Standard Service
B004,2024-01-22,2024-02-07,Client D,Mutare,,client.d@email.com,Basic Cleaning
B005,2024-01-25,2024-02-10,Client E,Gweru,,client.e@email.com,Deluxe Package
B006,2024-02-02,2024-02-15,Client F,Harare,,client.f@email.com,Standard Service
B007,2024-02-05,2024-02-18,Client G,Bulawayo,,client.g@email.com,Premium Package
B008,2024-02-08,2024-02-20,Client H,Harare,,client.h@email.com,Basic Cleaning
B009,2024-02-10,2024-02-22,Client I,Mutare,,client.i@email.com,Standard Service
B010,2024-02-12,2024-02-25,Client J,Gweru,,client.j@email.com,Deluxe Package
B011,2024-02-15,2024-02-28,Client K,Harare,,client.k@email.com,Basic Cleaning
B012,2024-02-18,2024-03-02,Client L,Bulawayo,,client.l@email.com,Premium Package
B013,2024-02-20,2024-03-05,Client M,Harare,,client.m@email.com,Standard Service
B014,2024-02-22,2024-03-07,Client N,Mutare,,client.n@email.com,Deluxe Package
B015,2024-02-25,2024-03-10,Client O,Gweru,,client.o@email.com,Basic Cleaning
B016,2024-03-01,2024-03-12,Client P,Harare,,client.p@email.com,Standard Service
B017,2024-03-03,2024-03-15,Client Q,Bulawayo,,client.q@email.com,Premium Package
B018,2024-03-05,2024-03-18,Client R,Harare,,client.r@email.com,Basic Cleaning
B019,2024-03-08,2024-03-20,Client S,Mutare,,client.s@email.com,Deluxe Package
B020,2024-03-10,2024-03-22,Client T,Gweru,,client.t@email.com,Standard Service
B021,2024-03-12,2024-03-25,Client U,Harare,,client.u@email.com,Basic Cleaning
B022,2024-03-15,2024-03-28,Client V,Bulawayo,,client.v@email.com,Premium Package
B023,2024-03-18,2024-03-30,Client W,Harare,,client.w@email.com,Standard Service
B024,2024-03-20,2024-04-02,Client X,Mutare,,client.x@email.com,Deluxe Package
B025,2024-03-22,2024-04-05,Client Y,Gweru,,client.y@email.com,Basic Cleaning
B026,2024-03-25,2024-04-08,Client Z,Harare,,client.z@email.com,Standard Service
B027,2024-03-28,2024-04-10,Client AA,Bulawayo,,client.aa@email.com,Premium Package
B028,2024-03-30,2024-04-12,Client BB,Harare,,client.bb@email.com,Basic Cleaning
B029,2024-04-02,2024-04-15,Client CC,Mutare,,client.cc@email.com,Deluxe Package
B030,2024-04-05,2024-04-18,Client DD,Gweru,,client.dd@email.com,Standard Service
B031,2024-04-08,2024-04-20,Client EE,Harare,,client.ee@email.com,Basic Cleaning
B032,2024-04-10,2024-04-22,Client FF,Bulawayo,,client.ff@email.com,Premium Package
B033,2024-04-12,2024-04-25,Client GG,Harare,,client.gg@email.com,Standard Service
B034,2024-04-15,2024-04-28,Client HH,Mutare,,client.hh@email.com,Deluxe Package
B035,2024-04-18,2024-05-01,Client II,Gweru,,client.ii@email.com,Basic Cleaning
B036,2024-04-20,2024-05-03,Client JJ,Harare,,client.jj@email.com,Standard Service
B037,2024-04-22,2024-05-05,Client KK,Bulawayo,,client.kk@email.com,Premium Package
B038,2024-04-25,2024-05-08,Client LL,Harare,,client.ll@email.com,Basic Cleaning
B039,2024-04-28,2024-05-10,Client MM,Mutare,,client.mm@email.com,Deluxe Package
B040,2024-05-01,2024-05-12,Client NN,Gweru,,client.nn@email.com,Standard Service
B041,2024-05-03,2024-05-15,Client OO,Harare,,client.oo@email.com,Basic Cleaning
B042,2024-05-05,2024-05-18,Client PP,Bulawayo,,client.pp@email.com,Premium Package
B043,2024-05-08,2024-05-20,Client QQ,Harare,,client.qq@email.com,Standard Service
B044,2024-05-10,2024-05-22,Client RR,Mutare,,client.rr@email.com,Deluxe Package
B045,2024-05-12,2024-05-25,Client SS,Gweru,,client.ss@email.com,Basic Cleaning
B046,2024-05-15,2024-05-28,Client TT,Harare,,client.tt@email.com,Standard Service
B047,2024-05-18,2024-05-30,Client UU,Bulawayo,,client.uu@email.com,Premium Package
B048,2024-05-20,2024-06-02,Client VV,Harare,,client.vv@email.com,Basic Cleaning
B049,2024-05-22,2024-06-05,Client WW,Mutare,,client.ww@email.com,Deluxe Package
B050,2024-05-25,2024-06-08,Client XX,Gweru,,client.xx@email.com,Standard Service
B051,2024-05-28,2024-06-10,Client YY,Harare,,client.yy@email.com,Basic Cleaning
B052,2024-05-30,2024-06-12,Client ZZ,Bulawayo,,client.zz@email.com,Premium Package
B053,2024-06-02,2024-06-15,Client AAA,Harare,,client.aaa@email.com,Standard Service
B054,2024-06-05,2024-06-18,Client BBB,Mutare,,client.bbb@email.com,Deluxe Package
B055,2024-06-08,2024-06-20,Client CCC,Gweru,,client.ccc@email.com,Basic Cleaning
B056,2024-06-10,2024-06-22,Client DDD,Harare,,client.ddd@email.com,Standard Service
B057,2024-06-12,2024-06-25,Client EEE,Bulawayo,,client.eee@email.com,Premium Package
B058,2024-06-15,2024-06-28,Client FFF,Harare,,client.fff@email.com,Basic Cleaning
B059,2024-06-18,2024-06-30,Client GGG,Mutare,,client.ggg@email.com,Deluxe Package
B060,2024-06-20,2024-07-02,Client HHH,Gweru,,client.hhh@email.com,Standard Service
B061,2024-06-22,2024-07-05,Client III,Harare,,client.iii@email.com,Basic Cleaning
